name,Lr,Lx,ledd,M,M_err,Rs_km,spin,spin_meas,tier,phi_low,phi_mid,phi_high
H1743-322,3.59911e+29,8.610839999999999e+36,0.017085,8.0,2.0,23.632061891928796,0.2,True,silver,10.24336477906466,22.904859964315694,45.80971992863139
H1743-322,8.576601999999999e+29,1.96287e+37,0.03894583333333334,8.0,2.0,23.632061891928796,0.2,True,silver,9.21766360278539,20.611322409553747,41.222644819107494
H1743-322,1.045273e+30,2.378368e+37,0.047189841269841264,8.0,2.0,23.632061891928796,0.2,True,silver,8.97945240511484,20.07866597856076,40.15733195712152
H1743-322,2.266673e+29,7.564931e+36,0.01500978373015873,8.0,2.0,23.632061891928796,0.2,True,silver,9.28303780859695,20.75750357772346,41.51500715544692
H1743-322,2.0905469999999998e+29,7.264053e+36,0.014412803571428571,8.0,2.0,23.632061891928796,0.2,True,silver,9.206714054785193,20.586838475902415,41.17367695180483
H1743-322,1.5698239999999998e+29,6.891537e+36,0.013673684523809524,8.0,2.0,23.632061891928796,0.2,True,silver,8.543327642574683,19.103461362850016,38.20692272570003
H1743-322,1.2826609999999998e+29,5.014632e+36,0.009949666666666667,8.0,2.0,23.632061891928796,0.2,True,silver,9.314316155009719,20.8274440865262,41.6548881730524
H1743-322,2.2475289999999997e+29,4.040361e+36,0.008016589285714285,8.0,2.0,23.632061891928796,0.2,True,silver,11.983394191396082,26.795684013137766,53.59136802627553
H1743-322,2.415998e+29,2.034508e+36,0.004036722222222222,8.0,2.0,23.632061891928796,0.2,True,silver,14.593158791368442,32.63129506394851,65.26259012789701
H1743-322,7.313085e+28,1.088892e+35,0.00021605,8.0,2.0,23.632061891928796,0.2,True,silver,19.899534439328736,44.49671172693722,88.99342345387444
H1743-322,1.072075e+29,1.518717e+36,0.003013327380952381,8.0,2.0,23.632061891928796,0.2,True,silver,11.785610860425372,26.35342704027092,52.70685408054184
MAXI J1348-630,9.789888067696671e+28,2.1982730433825668e+36,0.003172111173712218,11.0,2.0,32.49408510140209,0.8,True,silver,1.941521358519826,4.341373737418071,8.682747474836143
MAXI J1348-630,1.7687972057964563e+29,1.1597188496585195e+37,0.016734759735332172,11.0,2.0,32.49408510140209,0.8,True,silver,1.387842656997192,3.1033105231196454,6.206621046239291
MAXI J1348-630,4.772555213650377e+29,1.9963319501584463e+37,0.02880709884788523,11.0,2.0,32.49408510140209,0.8,True,silver,1.501563123548317,3.357597216760952,6.715194433521904
MAXI J1348-630,6.210407455434776e+29,3.0464256349238724e+37,0.043959965871917354,11.0,2.0,32.49408510140209,0.8,True,silver,1.3339214570637232,2.982739054640052,5.965478109280104
MAXI J1348-630,9.963144460613197e+29,3.4041498572065995e+37,0.0491219315614228,11.0,2.0,32.49408510140209,0.8,True,silver,1.490979541865918,3.3339316086736863,6.667863217347373
MAXI J1348-630,9.228727149982036e+29,3.60609095043072e+37,0.052035944450659746,11.0,2.0,32.49408510140209,0.8,True,silver,1.4100053367040408,3.1528677815077146,6.305735563015429
MAXI J1348-630,3.837466217823079e+30,7.61606408730968e+37,0.10989991467979338,11.0,2.0,32.49408510140209,0.8,True,silver,1.6043904470671955,3.5875261020935274,7.175052204187055
MAXI J1348-630,1.647750814639875e+29,6.519812438378742e+36,0.009408098756679282,11.0,2.0,32.49408510140209,0.8,True,silver,1.7779055237753612,3.975517608734076,7.951035217468152
